x,y,river,year,migration_rate (m/yr),curvature (1/m),row_id,EVI_change_2000_2016_unitless,EVI_change_2016_2024_unitless,CV_runoff_ERA5_2000_2016_unitless,CV_runoff_ERA5_2016_2024_unitless,DamDistance_km,CV_discharge_USGS_2000_2016_unitless,CV_discharge_USGS_2016_2024_unitless,DamBin,DamBin_code,CV_diff_2000_2016_ERA5_minus_USGS,CV_diff_2016_2024_ERA5_minus_USGS
430705.5346,3605886.861,Blackwarrior,2000,-5.290440119,0.003950505,72,0.087600429,0.306362032,1.269338391,0.960713259,23.07103749,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430843.9026,3606027.894,Blackwarrior,2000,-4.335177018,0.004391567,73,0.056549513,0.324890877,1.269338391,0.960713259,23.00026781,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430675.6027,3606310.375,Blackwarrior,2000,-0.64136737,0.000269398,74,0.058507047,0.112808506,1.269338391,0.960713259,22.6731608,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430350.5233,3606727.853,Blackwarrior,2000,12.80002843,-0.000372791,75,0.153738275,0.128514609,1.269338391,0.960713259,22.1581746,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430235.4912,3606972.891,Blackwarrior,2000,-12.55917594,-0.000268465,76,0.078537609,0.128708839,1.269338391,0.960713259,21.88740979,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430045.7287,3607570.139,Blackwarrior,2000,-2.57730401,-3.44E-05,77,0.064773242,0.249626563,1.269338391,0.960713259,21.26501024,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
429819.0551,3608203.009,Blackwarrior,2000,-23.86342298,-4.64E-05,78,0.06162343,0.302807257,1.269338391,0.960713259,20.59505648,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
429768.6526,3608511.61,Blackwarrior,2000,-4.829737955,0.001049188,79,0.131665766,0.203322789,1.269338391,0.960713259,20.29376019,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
429652.2691,3608743.213,Blackwarrior,2000,4.667559762,0.003010487,80,0.0899695,0.236124306,1.269338391,0.960713259,20.03458629,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
429342.5428,3608798.992,Blackwarrior,2000,-2.448155444,0.000737502,81,0.021191632,0.207664869,1.238918841,0.953451531,19.85493521,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
