river,year,row_id,x,y,DamBin,DamBin_encoded,Regulated_binary,DamDistance_km,migration_rate_m_per_yr,curvature,EVI_change_2000_2018_unitless,EVI_change_2018_2024_unitless,Delta_EVI_change_unitless,CV_runoff_ERA5_2000_2018_unitless,CV_runoff_ERA5_2018_2024_unitless,Delta_ERA5_CV_unitless,__source,epoch,is_training,ds_m,s_m,curv_sign,curv_sign_ff,bend_id,U_mode,CV_runoff_selected,CV_runoff_z,phase_lag_min_m,phase_lag_max_m,phase_lag_step_m,migration_abs_m_per_yr
Blackwarrior,2000,25,422696.4424,3598666.691,10–30 km,2,1,28.28320403,4.571080804,0.001367613,-0.044816737,0.90677022,0.951586957,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,6855.945041,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.571080804
Blackwarrior,2000,26,422733.9051,3598428.489,10–30 km,2,1,28.52314455,4.429747884,0.001547824,-0.041868308,0.291319066,0.333187374,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,241.1299374,7097.074978,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.429747884
Blackwarrior,2000,26,422733.9051,3598428.489,10–30 km,2,1,28.52314455,4.429747884,0.001547824,-0.041868308,0.291319066,0.333187374,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,7097.074978,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.429747884
Blackwarrior,2000,27,423008.2684,3598236.468,10–30 km,2,1,28.73091632,-1.123323702,0.001076012,-0.047462966,0.413733977,0.461196943,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,334.8839871,7431.958965,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,1.123323702
Blackwarrior,2000,27,423008.2684,3598236.468,10–30 km,2,1,28.73091632,-1.123323702,0.001076012,-0.047462966,0.413733977,0.461196943,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,7431.958965,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,1.123323702
Blackwarrior,2000,28,423241.5787,3598123.255,10–30 km,2,1,28.85951119,4.712468634,0.005024297,-0.043180497,0.329137268,0.372317765,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,259.3277452,7691.286711,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.712468634
Blackwarrior,2000,28,423241.5787,3598123.255,10–30 km,2,1,28.85951119,4.712468634,0.005024297,-0.043180497,0.329137268,0.372317765,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,7691.286711,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.712468634
Blackwarrior,2000,29,423383.7973,3598208.506,10–30 km,2,1,28.78488774,-1.460920588,0.0016863,-0.061856986,0.433585684,0.49544267,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,165.8127353,7857.099446,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,1.460920588
Blackwarrior,2000,29,423383.7973,3598208.506,10–30 km,2,1,28.78488774,-1.460920588,0.0016863,-0.061856986,0.433585684,0.49544267,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,7857.099446,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,1.460920588
Blackwarrior,2000,30,423546.9835,3598547.519,10–30 km,2,1,28.45974518,4.970589474,-5.25E-05,-0.049009914,0.292897135,0.341907049,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,376.2440033,8233.343449,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,4.970589474
Blackwarrior,2000,30,423546.9835,3598547.519,10–30 km,2,1,28.45974518,4.970589474,-5.25E-05,-0.049009914,0.292897135,0.341907049,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,8233.343449,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,4.970589474
Blackwarrior,2000,31,423741.0482,3598943.924,10–30 km,2,1,28.08147571,-10.87994434,-0.000337005,0.045464143,0.653878234,0.608414091,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,441.3593001,8674.702749,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,10.87994434
Blackwarrior,2000,31,423741.0482,3598943.924,10–30 km,2,1,28.08147571,-10.87994434,-0.000337005,0.045464143,0.653878234,0.608414091,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,8674.702749,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,10.87994434
Blackwarrior,2000,32,424088.5057,3599377.598,10–30 km,2,1,27.68356633,6.151576524,-0.000158353,0.066225109,0.266853767,0.200628658,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,555.6976269,9230.400376,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,6.151576524
Blackwarrior,2000,32,424088.5057,3599377.598,10–30 km,2,1,27.68356633,6.151576524,-0.000158353,0.066225109,0.266853767,0.200628658,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,9230.400376,-1,-1,Blackwarrior_2000_4,absorbed,1.305027957,2.408036438,0,3000,86,6.151576524
Blackwarrior,2000,33,424543.3168,3599755.635,10–30 km,2,1,27.35935661,4.604301038,0.000220187,0.135825643,0.289303546,0.153477903,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,591.4094268,9821.809803,1,1,Blackwarrior_2000_5,absorbed,1.305027957,2.408036438,0,3000,86,4.604301038
Blackwarrior,2000,33,424543.3168,3599755.635,10–30 km,2,1,27.35935661,4.604301038,0.000220187,0.135825643,0.289303546,0.153477903,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,9821.809803,1,1,Blackwarrior_2000_5,absorbed,1.305027957,2.408036438,0,3000,86,4.604301038
Blackwarrior,2000,34,424855.7778,3600142.673,10–30 km,2,1,27.01565038,13.39908554,0.000420151,0.034078794,0.311450491,0.277371697,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,497.4236524,10319.23346,1,1,Blackwarrior_2000_5,absorbed,1.305027957,2.408036438,0,3000,86,13.39908554
Blackwarrior,2000,34,424855.7778,3600142.673,10–30 km,2,1,27.01565038,13.39908554,0.000420151,0.034078794,0.311450491,0.277371697,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,10319.23346,1,1,Blackwarrior_2000_5,absorbed,1.305027957,2.408036438,0,3000,86,13.39908554
Blackwarrior,2000,35,425096.7279,3600684.234,10–30 km,2,1,26.5133436,18.15186853,0.000670357,0.048880079,0.336777648,0.287897569,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,592.7438464,10911.9773,1,1,Blackwarrior_2000_5,absorbed,1.305027957,2.408036438,0,3000,86,18.15186853
